id,place_name,average_rating,granular_category,lat,lng
7861,Falafel bean,3.8,restaurant,24.6066992,46.7282655
7862,Fawal Ahmed Omar Salem Bahawan for popular food,3.6,restaurant,24.6066987,46.7282658
7863,The happiest heart restaurant to serve meals,2.7,restaurant,24.6110584,46.7293729
7864,Food Surat - Alta City,4.4,restaurant,24.605747,46.7320594
7865,Sinbad Palace Restaurant,4,restaurant,24.606256,46.7281203
7866,We are completely unique,4.7,restaurant,24.6056615,46.7322332
7867,Fresh,4,restaurant,24.6053072,46.7301402
7868,buffet,3.5,restaurant,24.9753199,47.0679406
7869,Karak my duties for fast meals,4,restaurant,24.9756053,47.0684053
7870,Mayor of Bukhari Restaurant - 2,1,restaurant,24.9759965,47.0686703
7871,Pakistani spent the length of steam,3.8,restaurant,24.976146,47.0687503
7872,Sheikha Muhammad Major General,,restaurant,24.9591875,47.0126875
7873,Sahari Al -Bukhari Restaurant,3.7,restaurant,25.0122935,47.0254956
7874,Buffed meal tasting,4.5,restaurant,25.0126028,47.0253166
7875,Dunkin Dontes,4,cafe,24.573432,46.6634154
7876,Mama Benz Cafe,4.4,cafe,24.6002656,46.6963474
7877,Starbucks,3.9,cafe,24.600466,46.697815
7878,Dunkin Dontes,4.1,cafe,24.5649382,46.6501164
7879,Totti is enough,3.9,cafe,24.6113879,46.6609137
7880,Dunkin Dontes,4,cafe,24.608534,46.655968
7881,Mazaya coffee,4.3,cafe,24.5699438,46.6393215
7882,Crabbi Karim,4.1,cafe,24.5768982,46.6608952
7883,On Off Coffee,4.5,cafe,24.5763125,46.6798125
7884,SIps Coffee coffee,3.9,cafe,24.5813941,46.6847076
7885,Caf̩ Caf̩ Chamber,3.9,cafe,24.5815732,46.6866275
7886,Heinse,4.1,cafe,24.5755038,46.6785911
7887,Linon Roasttery,4.7,cafe,24.5766335,46.6784053
7888,River Kofi,4.7,cafe,24.5711196,46.6839512
7889,Coffee concentration,4.4,cafe,24.5753295,46.6783772
7890,Moroccan taste,3.8,cafe,24.5763113,46.6779481
7891,Crepe and coffee cafe and coffee,3.9,cafe,24.5815992,46.6884554
7892,Fredem Cafe Freedom,4.2,cafe,24.5781817,46.6909327
7893,Marshan Tst,,cafe,24.5765857,46.6777395
7894,Sahil Cafe,4.5,cafe,24.5761441,46.6776415
7895,Starbucks,4.1,cafe,24.6935,46.6951
7896,White foam cafe,3.8,cafe,24.7300841,46.6946022
7897,Dunkin Dontes,4.2,cafe,24.717241,46.694829
7898,Tim Hortons,4.2,cafe,24.7163056,46.6822616
7899,Dunkin Dontes,4.1,cafe,24.7257743,46.681398
7900,Starbucks,4.2,cafe,24.714894,46.6778172
7901,Zul Sai,3.7,cafe,24.713591,46.6755535
7902,Tim Hortons,4.2,cafe,24.7136379,46.6751825
7903,Higher Executive Hotel,4,cafe,24.7084843,46.6779717
7904,Dunkin,4.1,cafe,24.7043052,46.6821142
7905,Caribu Coffee,4.1,cafe,24.732308,46.696931
7906,Starbucks,4.1,cafe,24.704945,46.679131
7907,Starbucks,4.1,cafe,24.7014002,46.6963208
7908,Caribu Kafi,4.2,cafe,24.702843,46.699818
7909,"Onaza Cafe, King Abdullah Road",4,cafe,24.7341617,46.6781789
7910,Caramel lobby Lounge,4.3,cafe,24.700242,46.682188
7911,Starbucks,4.1,cafe,24.6988,46.6899
7912,Dunkin,4.2,cafe,24.6987999,46.6902205
7913,Tim Hortons,4.2,cafe,24.6986875,46.6898125
7914,Vivenea Lounge,4,cafe,24.6982024,46.6869432
7915,Kerk is serious,3.7,cafe,24.8968554,46.9078338
7916,Dunkin,4.2,cafe,24.8867279,46.9144415
7917,It will be prohibited in Shop ADNOC Station,4.7,cafe,24.8960382,46.9079285
7918,Jamoka Jamaka Cafe,3.4,cafe,24.8961459,46.9074517
7919,Barn's |Barn,2.5,cafe,24.8962315,46.9068237
7920,Best caf̩,3.6,cafe,24.8966233,46.9067882
7921,Ofarduz,3.6,cafe,24.8966444,46.9068058
7922,24 Savy,3.8,cafe,24.8969332,46.907138
7923,Moroccan mood,4.3,cafe,24.8970907,46.9073083
7924,Costa Coffee,5,cafe,24.868773,46.9364095
7925,Barnes Cafe,4.2,cafe,24.9098587,46.9272879
7926,Alkaif Diwaniya Diwaniya Kif,3.4,cafe,24.9094338,46.9285061
7927,Kudo buffet,5,cafe,24.9094595,46.9284826
7928,The Coffee Address |Coffee,3.1,cafe,24.910105,46.92783
7929,EntityKyan,3.9,cafe,24.9101549,46.9280109
7930,Coffee,4,cafe,24.9101773,46.9280416
7931,Road coffee,4.2,cafe,24.9104405,46.9277851
7932,Blue SkyBlue sky,4.1,cafe,24.9105853,46.9279702
7933,Leaving,,cafe,24.8862987,46.8739434
7934,Food left Sultan,4,cafe,24.8546917,46.8867949
7935,Starbucks,4.1,cafe,24.6864056,46.5826153
7936,Sundus Mall,4.3,cafe,24.6859285,46.5829623
7937,Cinnabon,3.9,cafe,24.694781,46.605478
7938,Tim Hortons,4.2,cafe,24.694819,46.6065978
7939,Starbucks,4.2,cafe,24.6941693,46.6074157
7940,Dunkin Dontes,4,cafe,24.6441542,46.5543706
7941,Dunkin,3.6,cafe,24.6853984,46.5728344
7942,Fortwins,3.8,cafe,24.6850734,46.5732953
7943,Arabica Star,4.2,cafe,24.6851228,46.5734914
7944,Sweat,5,cafe,24.6835139,46.566454
7945,mood,3.9,cafe,24.6833172,46.5663464
7946,Kinan tea,4.7,cafe,24.6851746,46.5740927
7947,Half a million,4.2,cafe,24.68495,46.574715
7948,Tea,5,cafe,24.6856397,46.5755343
7949,Sahil enoughSaheel,4.7,cafe,24.6824722,46.5645556
7950,Barn,2.9,cafe,24.6853778,46.5762417
7951,Tim Hortons,4.4,cafe,24.6853152,46.5764095
7952,Archi,4,cafe,24.6820928,46.5632963
7953,mouth,,cafe,24.6781921,46.5770219
7954,Nafis tea,,cafe,24.6822141,46.5613581
7955,Subway,3.5,restaurant,24.8885959,46.6972652
7956,Karak my diets,4.4,restaurant,24.8899897,46.6926764
7957,Map burger,4.6,restaurant,24.8901704,46.692719
7958,Map burger,4.4,restaurant,24.890117,46.6927467
7959,Pizza and pizza kirk road,4.6,restaurant,24.8902872,46.6927487
7960,Coffee,4.3,restaurant,24.890018,46.693039
